"title","first_release_year"
"King's Field",1994
"King's Field II",1995
"King's Field III",1996
"Armored Core",1997
"ARMORED CORE PROJECT PHANTASMA",1997
"Echo Night",1998
"Shadow Tower",1998
"ARMORED CORE MASTER OF ARENA",1999
"ECHO NIGHT＃2 眠りの支配者",1999
"FRAME GRIDE",1999
"SPRIGGAN -LUNAR VERSE-",1999
"Armored Core 2",2000
"EverGrace",2000
"The Adventures of Cookie & Cream",2000
"Armored Core 2: Another Age",2001
"King's Field 4",2001
"Armored Core 3",2002
"Forever Kingdom",2002
"Lost Kingdoms",2002
"Murakumo: Renegade Mech Pursuit",2002
"Otogi: Myth of Demons",2002
"Lost Kingdoms II",2003
"O・TO・GI ～百鬼討伐絵巻～",2003
"Shadow Tower: Abyss",2003
"Silent Line: Armored Core",2003
"サウザンドランド Thousand Land",2003
"天誅 参",2003
"Armored Core: Formula Front - Extreme Battle",2004
"Armored Core: Nexus",2004
"Armored Core: Nine Breaker",2004
"Echo Night: Beyond",2004
"Kuon",2004
"Metal Wolf Chaos",2004
"Tenchu: Fatal Shadows",2004
"Adventure Player",2005
"Armored Core: Last Raven",2005
"Tenchu: Time of the Assassins",2005
"Yoshitsune Eiyuuden",2005
"Armored Core 4",2006
"Armored Core: Machine Side Box",2006
"Enchanted Arms",2006
"King's Field: Additional I",2006
"King's Field: Additional II",2006
"Tenchu Z",2006
"Tenchu: Dark Secret",2006
"Cookie & Cream",2007
"イラロジVOW",2007
"Armored Core: For Answer",2008
"Shadow Assault Tenchu",2008
"3D Dot Game Heroes",2009
"Demon's Souls",2009
"Fuuun Shinsengumi Bakumatsuden Portable",2009
"Inugamike no Ichizoku",2009
"Tenchu: Shadow Assassins",2009
"Yatsu Hakamura",2009
"ニンジャブレイド",2009
"己の信ずる道を征け",2009
"Dark Souls",2011
"Armored Core V",2012
"Dark Souls: Artorias of the Abyss",2012
"Steel Battalion: Heavy Armor",2012
"Armored Core: Verdict Day",2013
"DARK SOULS II",2014
"Bloodborne",2015
"Dark Souls II: Scholar of the First Sin",2015
"DARK SOULS III",2016
"Dark Souls: Remastered",2018
"Deracine",2018
"Sekiro: Shadows Die Twice",2019
"Otogi 2: Immortal Warriors",2003
